date,close,volume,open,high,low
2013/11/21,122.1,11890950,122.89,124.789,120.25
2013/11/22,121.38,11095140,121.58,122.75,117.93
2013/11/25,120.84,10257990,124.5,125.84,120.3
2013/11/26,120.5,13869230,119.38,122.72,116.1
2013/11/27,126.94,12342800,121.31,126.95,119.52
2013/11/29,127.28,9716219,129.77,130.59,126.98
2013/12/02,124.17,7642470,126.35,128.55,123.931
2013/12/03,144.7,25620170,132.68,144.94,131.59
2013/12/04,138.95,13121620,144.32,144.43,137.13
2013/12/05,140.48,9277795,140.15,143.35,139.5
2013/12/06,137.36,7881590,141.51,142.49,136.3
2013/12/09,141.6,9014394,137,141.7,134.21
2013/12/10,142.19,10725610,140.05,145.87,139.86
2013/12/11,139.65,7128291,141.88,143.05,139.49
2013/12/12,147.47,10741360,139.7,148.24,138.53
2013/12/13,147.654,10590620,148.05,151.8,147.32
2013/12/16,147.94,6660961,148.48,150.43,146.1
2013/12/17,152.46,10472460,147.58,154.63,146.3235
2013/12/18,147.98,11565140,152.24,154.9,145.95
2013/12/19,140.72,12730030,146.9,147,139.1
2013/12/20,143.24,7352177,141.58,144.35,141.58
2013/12/23,143.55,5330909,144.85,146.24,142.601
2013/12/24,151.41,9941485,150,154.97,149.82
2013/12/26,155.5,7111247,155.04,158,154.29
2013/12/27,151.12,5459669,155.3,155.4999,150.8
2013/12/30,152.44,4461968,151.12,154.81,150.75
2013/12/31,150.429,4262398,152.32,153.2,148.661
2014/01/02,150.1,6188202,149.8,152.4769,146.55
2014/01/03,149.56,4691589,150,152.19,148.601
2014/01/06,147,5361072,150,150.4,145.24
2014/01/07,149.36,5034083,147.62,150.4,145.25
2014/01/08,151.28,6154868,148.85,153.7,148.76
2014/01/09,147.53,5380624,152.5,153.43,146.85
2014/01/10,145.7199,7445861,148.46,148.9,142.25
2014/01/13,139.34,6314832,145.78,147,137.82
2014/01/14,161.27,27558800,140.5,162,136.671
2014/01/15,164.13,20461310,168.45,172.23,162.1
2014/01/16,170.97,11957980,162.5,172.7,162.4
2014/01/17,170.01,9205616,170.19,173.2,167.95
2014/01/21,176.68,9550446,171.24,177.29,170.81
2014/01/22,178.56,7021769,177.81,180.319,174.76
2014/01/23,181.5,7863768,177.23,182.38,173.42
2014/01/24,174.6,7684134,177.85,180.48,173.531
2014/01/27,169.62,8714715,175.16,177.92,164.71
2014/01/28,178.38,6090396,171.5,178.98,171
2014/01/29,175.23,5934083,175.3,179.09,173.131
2014/01/30,182.84,8562363,178,184.78,177.01
2014/01/31,181.41,6507957,178.85,186,178.5146
2014/02/03,177.11,6764261,182.89,184.8797,175.16
2014/02/04,178.73,4685739,180.7,181.6,176.2
2014/02/05,174.42,7267674,178.3,180.59,169.36
2014/02/06,178.38,5840728,176.3,180.11,176
2014/02/07,186.53,8951247,181.01,186.63,179.6
2014/02/10,196.56,12963450,189.34,199.3,189.32
2014/02/11,196.62,10681830,198.97,202.2,192.7
2014/02/12,195.32,5171888,195.78,198.269,194.32
2014/02/13,199.63,8024948,193.34,202.72,193.25
2014/02/14,198.23,6164371,198.1,201.88,197
2014/02/18,203.7,9327414,205.244,206,201.3601
2014/02/19,193.64,16038700,203.7,203.7,193.41
2014/02/20,209.97,18000940,215.01,215.21,206.27
2014/02/21,209.6,7817352,211.64,213.98,209.19
2014/02/24,217.65,8286273,208.76,218.36,208.32
2014/02/25,248,32648710,230,259.2,228.45
2014/02/26,253,24535130,258.58,265,247.5
2014/02/27,252.54,17939220,261.25,261.9,248.33
2014/02/28,244.81,14585150,249.65,252.68,242.55
2014/03/03,250.56,13083260,237.26,251.65,234.99
2014/03/04,254.84,8739446,258.48,260,252.83
2014/03/05,252.66,5932037,256.72,256.99,251.8
2014/03/06,252.94,7356920,254.14,257.5,249.45
2014/03/07,246.21,7806564,252.94,254.85,244.41
2014/03/10,238.84,7725236,242.7,243,236.06
2014/03/11,234.41,8792986,236.5,244.6,232.4262
2014/03/12,241.49,9779276,231.5,247.5,231.11
2014/03/13,237.79,6223150,243.79,244.19,234
2014/03/14,230.97,8254035,235.29,236.9365,228.32
2014/03/17,233.98,5898403,234.95,237.93,230.5
2014/03/18,240.04,6231210,236.95,241.5,235.02
2014/03/19,235.84,5063434,241.39,241.55,233.51
2014/03/20,234.91,3811031,236.16,239.25,233.36
2014/03/21,228.89,8214207,236.02,236.2,227.5
2014/03/24,220.17,11327430,229.75,229.9,210.27
2014/03/25,220.44,7852386,224.14,227.05,217.9
2014/03/26,212.96,6886279,221.95,222.6,211.3501
2014/03/27,207.32,9493537,212.37,213.6,203
2014/03/28,212.37,9666658,212.8,216.72,210.27
2014/03/31,208.45,8367389,216.5,216.75,206.39
2014/04/01,216.97,7353574,209.02,218.16,208.58
2014/04/02,230.29,10738310,220,230.89,218.05
